pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,label
5.793328549811338490e-02,8.547315404100627734e-02,-6.360657404786076996e-02,5.123930852499197774e-02,7.020684273232254136e-02,1.926799896251761221e-02,9.928680581150753359e-02,7.941185850337498242e-02,0
-2.607089701005685725e-03,-6.461851761325806444e-03,-1.133846481299059933e-01,-1.399627741548356216e-02,3.012590356054597324e-02,4.495449013680951483e-02,-2.580517142387446505e-03,-3.949704072341608113e-02,0
-7.352021664248098443e-02,-3.468178442862483724e-02,-7.013169046006040297e-02,-2.677270313423359138e-02,-8.646065624539657490e-03,4.823946431357443304e-02,-1.816139782078141779e-02,-9.485024275325477927e-02,0
2.576663065482481460e-02,1.331467781239437098e-01,-1.158777088763040392e-01,5.101812824446035587e-03,-9.312202870993420423e-02,8.431248514382936113e-03,-2.046298302459757107e-02,-2.392893419284715384e-02,0
1.164958285796675597e-01,6.443129961653204507e-02,-2.224341021631042956e-02,-7.052030763042857475e-02,-7.460977692152566398e-02,2.904658777153110508e-02,1.335850628164295117e-01,5.552739554771229935e-02,0
-1.940895975518060756e-01,-8.403982999307797741e-02,3.088544373357179906e-02,-7.126112730249144211e-02,-3.750305443650007314e-02,2.741538437327757302e-02,3.696075505434837788e-02,-1.333619717624288659e-01,0
1.007814328893718303e-01,-1.026812491079970302e-01,9.743085207108144463e-02,6.074940634447045101e-02,1.425256548616700251e-02,5.107611390147604596e-02,5.880812496888494778e-02,-5.455502484369688376e-02,0
4.627968830709959513e-02,-6.720031755927642625e-02,8.540799297803786105e-02,6.877605424725687089e-02,3.340325774472177600e-02,-4.278450601450741603e-02,7.667347713865083070e-02,-1.325356108303347713e-01,0
-2.731177464764070889e-02,-4.006689621445570088e-02,-3.564867476572027277e-03,3.543133158626580038e-04,-1.281968737449542262e-01,-6.595330165794530131e-02,1.971563046757866637e-03,7.108061783854804916e-02,0
3.107653835243274695e-02,1.410953421044782996e-01,-1.056224943668715582e-01,-8.212007994131834132e-02,-1.878182741808277073e-02,8.994227253832358382e-03,9.104497306774174403e-02,-6.997555884944359206e-02,0
-1.075929801306706179e-02,-1.177300895209752035e-01,-1.967502188449338912e-02,1.825307538687103923e-02,-1.443736426807560869e-01,-1.155161946510418168e-02,6.592437362213607321e-02,5.584679205134942398e-02,0
-9.086706325218362607e-03,-5.294276012012879423e-02,6.336853831825516037e-02,-3.368790184832071155e-02,-9.329332910757266728e-02,-7.463163220250143559e-02,-4.976337389402560318e-02,5.902780461692559016e-02,0
-1.119166121747498382e-01,-4.752067151258890926e-02,-5.417177565480006673e-02,7.604526555839669077e-02,4.577273767238952684e-02,-9.855069545603896419e-02,6.878702006340310648e-02,-4.225929096985973216e-02,0
6.449895172656260577e-03,-7.171508445230517781e-02,1.433266295845423144e-01,2.638957608302883867e-02,-8.747827493512033703e-02,-5.680624593405923101e-02,-8.390263518263291198e-02,-3.374773602339115747e-02,0
1.693076836324144616e-02,5.352257984859532490e-03,7.395548301347203320e-03,-3.951957011903135114e-02,7.526074908025152943e-02,-2.157932832211711602e-02,2.443638129103495663e-02,1.900247067904556331e-02,0
4.309748233574745013e-02,4.067703000614059788e-02,-1.520015296915378476e-02,5.059781755584456808e-02,5.155190208389860695e-02,1.930792676064085889e-02,4.571016928779313149e-02,7.629134877037480923e-03,0
4.130236062525235313e-02,-1.130649016403377227e-01,-2.900717856663317940e-02,-1.166019551405434763e-02,4.596830003476563148e-02,1.191786782905320530e-01,4.825942315020081280e-02,-2.948357284090956029e-02,0
-4.145895561157851225e-03,6.107531984204778858e-02,-9.072256616348797764e-02,-8.527970214664526427e-02,-2.745685771685038579e-02,1.652437685277460475e-02,-4.141153841034620614e-02,1.801044908527141448e-03,0
2.924180469053542391e-04,1.931211841291973971e-02,2.256347968212404562e-02,5.724207025641602636e-02,-1.456258774383529511e-03,4.355276313960219220e-02,5.736119234332102794e-03,-1.227722681590706459e-02,0
-6.776806950520793127e-02,1.384983303842522023e-02,7.555177031386862974e-02,-4.510002075930352218e-03,3.289984921488003922e-02,-1.889844364507486940e-02,7.314205866372301690e-02,1.999173883355816542e-02,0
6.245937046990859137e-02,-2.569249388273892390e-02,2.170307259915894849e-02,2.532091339624775381e-02,-1.787569763686418928e-02,-9.115665263412624231e-02,-3.605823534750079301e-02,-1.613878894651315371e-02,0
1.013692999555982667e-02,-6.015523200912708396e-02,7.677317188464619253e-03,1.520808181631063717e-02,2.332736724989508195e-02,-3.182420953412776199e-02,-1.497563931772136203e-01,-1.213408930558603493e-01,0
-4.089028247373962220e-03,9.251473295964231930e-03,9.715578486606339659e-02,-2.834786632174065776e-02,7.221888579665701816e-03,9.245044618256455238e-02,1.056318112011349897e-01,3.867888226972353988e-02,0
-1.190164787918517320e-01,4.644505426571068907e-02,1.736312016434652305e-03,2.900101967030368696e-02,1.954885797572807060e-02,4.839318250569832336e-02,7.641260361847106164e-02,6.711949217081460140e-02,0
-1.431504825611753552e-02,9.585506756376527271e-02,1.052851794578200245e-01,-5.481389683338598606e-02,1.321913799059297630e-02,-6.464143821024968817e-02,-7.955774595910991565e-02,2.451790677003529845e-02,0
-1.153667616898511328e-02,-3.011522600759561699e-02,-7.367170268989248205e-02,8.213406245904224245e-02,4.555396809458259200e-02,-1.018602301112707942e-01,1.978527398130122683e-02,8.465813703545680899e-04,0
3.510873794524298208e-02,-1.038322000119474842e-01,-4.391933406177486038e-02,-1.019128450661482554e-01,-6.617413877720001655e-03,5.768238330207409170e-02,1.293995133314996236e-02,1.338960099081492119e-02,0
