1.000000000000000000e+00,2.539062500000000000e-02,2.734375000000000000e-02,6.445312500000000000e-02,8.398437500000000000e-02,2.734375000000000000e-02,5.859375000000000000e-02,6.445312500000000000e-02,3.320312500000000000e-02,1.171875000000000000e-01,6.640625000000000000e-02,3.320312500000000000e-02,9.375000000000000000e-02,5.468750000000000000e-02,6.640625000000000000e-02,9.960937500000000000e-02,7.617187500000000000e-02,4.101562500000000000e-02,6.250000000000000000e-02,8.007812500000000000e-02
2.539062500000000000e-02,1.000000000000000000e+00,6.250000000000000000e-02,5.859375000000000000e-02,5.273437500000000000e-02,5.468750000000000000e-02,8.007812500000000000e-02,3.906250000000000000e-02,8.789062500000000000e-02,1.953125000000000000e-02,3.515625000000000000e-02,6.054687500000000000e-02,6.835937500000000000e-02,1.855468750000000000e-01,6.054687500000000000e-02,4.492187500000000000e-02,5.273437500000000000e-02,1.308593750000000000e-01,8.789062500000000000e-02,5.078125000000000000e-02
2.734375000000000000e-02,6.250000000000000000e-02,1.000000000000000000e+00,3.515625000000000000e-02,6.250000000000000000e-02,5.468750000000000000e-02,8.789062500000000000e-02,1.035156250000000000e-01,6.640625000000000000e-02,5.468750000000000000e-02,8.593750000000000000e-02,3.710937500000000000e-02,8.203125000000000000e-02,5.664062500000000000e-02,4.882812500000000000e-02,3.906250000000000000e-02,8.398437500000000000e-02,5.468750000000000000e-02,5.468750000000000000e-02,4.687500000000000000e-02
6.445312500000000000e-02,5.859375000000000000e-02,3.515625000000000000e-02,1.000000000000000000e+00,6.054687500000000000e-02,1.367187500000000000e-02,4.687500000000000000e-02,7.421875000000000000e-02,2.343750000000000000e-02,5.664062500000000000e-02,4.296875000000000000e-02,1.054687500000000000e-01,7.226562500000000000e-02,2.343750000000000000e-02,6.054687500000000000e-02,4.882812500000000000e-02,7.812500000000000000e-02,5.664062500000000000e-02,3.320312500000000000e-02,3.515625000000000000e-02
8.398437500000000000e-02,5.273437500000000000e-02,6.250000000000000000e-02,6.054687500000000000e-02,1.000000000000000000e+00,3.320312500000000000e-02,1.230468750000000000e-01,5.664062500000000000e-02,7.226562500000000000e-02,2.402343750000000000e-01,1.406250000000000000e-01,1.386718750000000000e-01,2.500000000000000000e-01,1.542968750000000000e-01,1.425781250000000000e-01,1.015625000000000000e-01,1.914062500000000000e-01,8.789062500000000000e-02,1.601562500000000000e-01,1.953125000000000000e-01
2.734375000000000000e-02,5.468750000000000000e-02,5.468750000000000000e-02,1.367187500000000000e-02,3.320312500000000000e-02,1.000000000000000000e+00,2.929687500000000000e-02,5.468750000000000000e-02,5.468750000000000000e-02,3.125000000000000000e-02,7.421875000000000000e-02,4.492187500000000000e-02,2.929687500000000000e-02,4.296875000000000000e-02,4.296875000000000000e-02,7.226562500000000000e-02,3.125000000000000000e-02,2.734375000000000000e-02,2.148437500000000000e-02,1.757812500000000000e-02
5.859375000000000000e-02,8.007812500000000000e-02,8.789062500000000000e-02,4.687500000000000000e-02,1.230468750000000000e-01,2.929687500000000000e-02,1.000000000000000000e+00,6.445312500000000000e-02,8.593750000000000000e-02,9.375000000000000000e-02,6.445312500000000000e-02,9.765625000000000000e-02,1.582031250000000000e-01,1.347656250000000000e-01,6.835937500000000000e-02,8.007812500000000000e-02,1.289062500000000000e-01,1.933593750000000000e-01,8.007812500000000000e-02,1.230468750000000000e-01
6.445312500000000000e-02,3.906250000000000000e-02,1.035156250000000000e-01,7.421875000000000000e-02,5.664062500000000000e-02,5.468750000000000000e-02,6.445312500000000000e-02,1.000000000000000000e+00,4.296875000000000000e-02,5.273437500000000000e-02,3.515625000000000000e-02,3.515625000000000000e-02,5.078125000000000000e-02,3.710937500000000000e-02,1.757812500000000000e-02,2.929687500000000000e-02,3.710937500000000000e-02,3.710937500000000000e-02,2.929687500000000000e-02,4.687500000000000000e-02
3.320312500000000000e-02,8.789062500000000000e-02,6.640625000000000000e-02,2.343750000000000000e-02,7.226562500000000000e-02,5.468750000000000000e-02,8.593750000000000000e-02,4.296875000000000000e-02,1.000000000000000000e+00,7.421875000000000000e-02,1.464843750000000000e-01,4.101562500000000000e-02,7.031250000000000000e-02,9.375000000000000000e-02,8.398437500000000000e-02,8.789062500000000000e-02,4.492187500000000000e-02,9.570312500000000000e-02,6.250000000000000000e-02,8.007812500000000000e-02
1.171875000000000000e-01,1.953125000000000000e-02,5.468750000000000000e-02,5.664062500000000000e-02,2.402343750000000000e-01,3.125000000000000000e-02,9.375000000000000000e-02,5.273437500000000000e-02,7.421875000000000000e-02,1.000000000000000000e+00,1.679687500000000000e-01,7.031250000000000000e-02,1.855468750000000000e-01,1.640625000000000000e-01,1.230468750000000000e-01,9.375000000000000000e-02,1.660156250000000000e-01,5.859375000000000000e-02,1.679687500000000000e-01,1.230468750000000000e-01
6.640625000000000000e-02,3.515625000000000000e-02,8.593750000000000000e-02,4.296875000000000000e-02,1.406250000000000000e-01,7.421875000000000000e-02,6.445312500000000000e-02,3.515625000000000000e-02,1.464843750000000000e-01,1.679687500000000000e-01,1.000000000000000000e+00,7.421875000000000000e-02,1.054687500000000000e-01,1.210937500000000000e-01,9.179687500000000000e-02,9.765625000000000000e-02,9.375000000000000000e-02,3.710937500000000000e-02,6.445312500000000000e-02,7.031250000000000000e-02
3.320312500000000000e-02,6.054687500000000000e-02,3.710937500000000000e-02,1.054687500000000000e-01,1.386718750000000000e-01,4.492187500000000000e-02,9.765625000000000000e-02,3.515625000000000000e-02,4.101562500000000000e-02,7.031250000000000000e-02,7.421875000000000000e-02,1.000000000000000000e+00,1.816406250000000000e-01,7.812500000000000000e-02,1.191406250000000000e-01,6.250000000000000000e-02,1.660156250000000000e-01,1.250000000000000000e-01,3.125000000000000000e-02,1.386718750000000000e-01
9.375000000000000000e-02,6.835937500000000000e-02,8.203125000000000000e-02,7.226562500000000000e-02,2.500000000000000000e-01,2.929687500000000000e-02,1.582031250000000000e-01,5.078125000000000000e-02,7.031250000000000000e-02,1.855468750000000000e-01,1.054687500000000000e-01,1.816406250000000000e-01,1.000000000000000000e+00,9.765625000000000000e-02,1.191406250000000000e-01,7.031250000000000000e-02,1.445312500000000000e-01,1.445312500000000000e-01,1.054687500000000000e-01,1.445312500000000000e-01
5.468750000000000000e-02,1.855468750000000000e-01,5.664062500000000000e-02,2.343750000000000000e-02,1.542968750000000000e-01,4.296875000000000000e-02,1.347656250000000000e-01,3.710937500000000000e-02,9.375000000000000000e-02,1.640625000000000000e-01,1.210937500000000000e-01,7.812500000000000000e-02,9.765625000000000000e-02,1.000000000000000000e+00,8.398437500000000000e-02,7.617187500000000000e-02,6.835937500000000000e-02,1.289062500000000000e-01,1.933593750000000000e-01,1.191406250000000000e-01
6.640625000000000000e-02,6.054687500000000000e-02,4.882812500000000000e-02,6.054687500000000000e-02,1.425781250000000000e-01,4.296875000000000000e-02,6.835937500000000000e-02,1.757812500000000000e-02,8.398437500000000000e-02,1.230468750000000000e-01,9.179687500000000000e-02,1.191406250000000000e-01,1.191406250000000000e-01,8.398437500000000000e-02,1.000000000000000000e+00,1.601562500000000000e-01,8.398437500000000000e-02,6.640625000000000000e-02,8.007812500000000000e-02,9.375000000000000000e-02
9.960937500000000000e-02,4.492187500000000000e-02,3.906250000000000000e-02,4.882812500000000000e-02,1.015625000000000000e-01,7.226562500000000000e-02,8.007812500000000000e-02,2.929687500000000000e-02,8.789062500000000000e-02,9.375000000000000000e-02,9.765625000000000000e-02,6.250000000000000000e-02,7.031250000000000000e-02,7.617187500000000000e-02,1.601562500000000000e-01,1.000000000000000000e+00,8.398437500000000000e-02,4.882812500000000000e-02,4.101562500000000000e-02,1.484375000000000000e-01
7.617187500000000000e-02,5.273437500000000000e-02,8.398437500000000000e-02,7.812500000000000000e-02,1.914062500000000000e-01,3.125000000000000000e-02,1.289062500000000000e-01,3.710937500000000000e-02,4.492187500000000000e-02,1.660156250000000000e-01,9.375000000000000000e-02,1.660156250000000000e-01,1.445312500000000000e-01,6.835937500000000000e-02,8.398437500000000000e-02,8.398437500000000000e-02,1.000000000000000000e+00,6.250000000000000000e-02,5.078125000000000000e-02,1.816406250000000000e-01
